clip,naive,lr,avg_reward,avg_gap
True,False,1.0,0.7054819277108434,-0.3450178024259719
True,False,7.847599703514606e-05,1.1192006269592478,-0.0041308636125456
True,False,1e-06,0.9707933398628794,-3.352293235158399e-05
True,False,0.0061584821106602,1.0991057741440982,-0.144436325799577
True,False,0.4832930238571752,0.7670211198428291,-0.225495963987483
True,False,0.2335721469090121,0.687805049088359,-0.3313814289568101
True,False,0.0545559478116851,0.7432637259502581,-0.2394013197200508
True,False,8.858667904100832e-06,1.0085454997513676,-0.0004090667637055
True,False,0.0014384498882876,1.0687684003925415,-0.0380233420981888
True,False,0.0001623776739188,1.0541658366533864,-0.0038931057742808
True,False,0.0263665089873035,0.8711205179282867,-0.1705430857585949
True,False,1.832980710832437e-05,1.0165019569471627,-0.0006945653101281
True,False,0.0127427498570313,0.9494241093216204,-0.1933649209782371
True,False,3.792690190732254e-05,1.004055712936733,-0.0014184152798494
True,False,4.281332398719396e-06,0.9793871124031008,-0.0001783298094926
True,False,0.1128837891684688,0.8838085937500001,-0.1522108401291086
True,False,1e-06,0.9952655331654072,-7.361232662458479e-05
True,False,2.06913808111479e-06,0.9225830748781568,-7.644620947310559e-05
True,False,0.4832930238571752,0.8398202648728189,-0.4109360851221225
True,False,0.0003359818286283,0.9890799086757992,-0.0057574106898616
True,False,0.0029763514416313,0.9502343059239612,-0.0321706209697394
True,False,0.0061584821106602,0.9858171041490263,-0.4443283799519834
True,False,0.0006951927961775,1.0686612824278026,-0.0131634471097693
True,False,0.0545559478116851,0.7769532590051458,-0.3716441421717035
True,False,1.0,0.8334467361258773,-0.4613543012261346
True,False,7.847599703514606e-05,1.000804025423729,-0.0084566851798747
True,False,0.0263665089873035,0.7863839565489869,-0.4662902753556585
True,False,1.832980710832437e-05,0.9897594829413012,-0.0015437364993727
True,False,0.1128837891684688,0.7237269681742043,-0.4466819558281538
True,False,0.0127427498570313,0.9493247344461304,-0.4375348541302631
True,False,0.0014384498882876,1.0063662280701755,-0.0798162392262545
True,False,0.0001623776739188,1.0089938702177128,-0.0141853704572982
True,False,8.858667904100832e-06,1.0039720324508967,-0.0005065974920302
True,False,0.2335721469090121,0.7727017984107067,-0.4391791072909515
True,False,0.0061584821106602,0.9676083262531862,-0.4137310341466008
True,False,3.792690190732254e-05,1.0051989730423618,-0.0026721621699172
True,False,1e-06,0.989334513642991,-5.759048117845056e-05
True,False,0.4832930238571752,0.9085445352839928,-0.3271473055136581
True,False,1.0,0.8559462025316457,-0.3857072053568309
True,False,4.281332398719396e-06,0.9950264606265876,-0.0002617189216461
True,False,0.0003359818286283,1.0006031578947367,-0.0190911886857493
True,False,2.06913808111479e-06,0.9934387966804978,-0.0001486664772233
True,False,0.0029763514416313,1.0138383620689655,-0.1787870849802131
True,False,8.858667904100832e-06,1.0051001898333685,-0.00060359335306
True,False,0.1128837891684688,0.8864291754756872,-0.2921943143383781
True,False,7.847599703514606e-05,1.0145162653147446,-0.0031049435755545
True,False,1.832980710832437e-05,0.9961955141768938,-0.0014079192414448
True,False,0.0127427498570313,0.9188866222890272,-0.3191301703902697
True,False,0.0014384498882876,1.0013059779212663,-0.0639668157099514
True,False,0.0001623776739188,0.9967616959064328,-0.0044269394751762
True,False,0.0263665089873035,0.9646510656080236,-0.1425467174216788
True,False,0.0545559478116851,0.8276455479452054,-0.4414720680145973
True,False,0.0006951927961775,1.0082553839460515,-0.0408481562870781
True,False,0.4832930238571752,0.7400181441161224,-0.370733083707395
True,False,0.0003359818286283,1.0002254359846874,-0.0112955653094378
True,False,3.792690190732254e-05,0.992668480535789,-0.0018181981897087
True,False,0.0061584821106602,0.9726598702502318,-0.3305903207416102
