clip,naive,lr,avg_reward,avg_gap
False,False,0.0236842105263157,0.1589362735861889,-0.669662501567417
False,False,0.0368421052631578,0.1786513416106353,-0.6550043946841722
False,False,0.0131578947368421,0.1576414897763114,-0.6232040952141622
False,False,0.0473684210526315,0.2518988036763419,-0.7416223305694049
False,False,0.0263157894736842,0.3057565376382039,-0.7397089780001584
False,False,0.0157894736842105,0.3576535394932182,-0.7903717730029003
False,False,0.0394736842105263,0.2383171645335831,-0.5956391497630543
False,False,0.0342105263157894,0.2335171765849192,-0.5992240528768935
False,False,0.031578947368421,0.297096914425968,-0.7218572236605468
False,False,0.05,0.1982807833372963,-0.5859855511082928
False,False,0.0184210526315789,0.17430557555277,-0.6626272185521738
False,False,0.0210526315789473,0.1736455976312214,-0.873496509329962
False,False,0.0078947368421052,0.1055016891725886,-0.6219749873455972
False,False,0.0447368421052631,0.1326731935398845,-0.8683471312997543
False,False,0.0105263157894736,0.2990240961312659,-0.8034642894895415
False,False,0.0,0.0399967925564612,-1.96270432267663
False,False,0.0421052631578947,0.3284659531320305,-0.7051507806127878
False,False,0.0052631578947368,0.2690157663743164,-0.7206795341230343
False,False,0.0026315789473684,0.0859141140507003,-0.7004041346508636
False,False,0.0289473684210526,0.2025526657496985,-0.8095535360722462
True,True,0.0210526315789473,0.3339424652822275,-0.7315041271577849
True,True,0.0052631578947368,0.317901210296783,-0.7103501024673887
True,True,0.0078947368421052,0.3467586277209873,-0.7182104440726258
True,True,0.0,-0.0485398778124054,-0.7347839247508974
True,True,0.0289473684210526,0.331196377794476,-0.7280959486447612
True,True,0.0236842105263157,0.5165280951128773,-0.7832246445738114
True,True,0.0184210526315789,0.3522395498931549,-0.7381006271973535
True,True,0.0026315789473684,0.2178001726262223,-0.7554484799827247
True,True,0.0105263157894736,0.4000326932348139,-0.7155703714125999
True,True,0.0157894736842105,0.4508691998944505,-0.7149334161309852
True,True,0.0131578947368421,0.3566800472489511,-0.7142305454712412
True,True,0.031578947368421,0.3521385464534085,-0.7097641919231549
True,True,0.0,-0.0276936391172651,-0.7688375858152441
True,True,0.0473684210526315,0.4441401916288452,-0.6827604547414822
True,False,0.0026315789473684,0.4614906078514141,-0.6381634797407301
True,True,0.0447368421052631,0.4642843710823234,-0.7180483065810425
True,False,0.0105263157894736,0.5624753867791842,-0.4867197040933928
True,True,0.0289473684210526,0.3984522767075307,-0.7174809489124677
True,True,0.0210526315789473,0.3308035299581979,-0.7128097104793476
True,True,0.0421052631578947,0.2071905311778291,-0.7082609399191026
True,False,0.0184210526315789,0.4184981722177091,-0.4883570840365342
True,False,0.0,0.9565467279726264,-0.0002135108206148
True,True,0.0394736842105263,0.3156712494945412,-0.7166448197668213
True,True,0.05,0.3354005934718099,-0.7143918285943575
True,False,0.0236842105263157,0.5740221017514595,-0.4999165120817087
True,False,0.0052631578947368,0.749876582278481,-0.4891611302448979
True,True,0.0263157894736842,0.2706345826235093,-0.7138887595791993
True,True,0.0052631578947368,0.3994710071210579,-0.7197350203790946
True,True,0.0026315789473684,0.1949429484253764,-0.7138810210168397
True,False,0.0157894736842105,0.6517583497053043,-0.4823896485889024
True,True,0.0131578947368421,0.4904760258183495,-0.7100167240531526
True,True,0.0342105263157894,0.3838457458094632,-0.7786448302697372
True,True,0.0078947368421052,0.3474541284403671,-0.7185322249678691
True,False,0.0263157894736842,0.4949920314492136,-0.6634968431748135
True,True,0.0105263157894736,0.3797866053841104,-0.6657341041220519
