clip,naive,lr,avg_reward,avg_gap
True,False,0.0006951927961775,0.9012678741658722,-2.432033044471338e-13
True,False,2.06913808111479e-06,0.8875743026977594,-4.305564081330866e-05
True,False,0.0263665089873035,1.0029477020602218,-2.432033044471338e-13
True,False,0.0029763514416313,0.9450476190476188,-2.432033044471336e-13
True,False,1.832980710832437e-05,0.8913518518518521,-2.8298592722566097e-13
True,False,1.0,0.9433477218225425,-2.432033044471338e-13
True,False,0.1128837891684688,0.9467759036144582,-2.432033044471336e-13
True,False,1e-06,0.9219928741092638,-0.0001671221536513
True,False,0.0001623776739188,0.956798853320592,-2.432033044471338e-13
True,False,0.0127427498570313,0.9040634146341464,-2.432033044471336e-13
True,False,3.792690190732254e-05,0.9118768400392544,-2.432033044471336e-13
True,False,0.0014384498882876,0.8834451079467156,-2.432033044471338e-13
True,False,0.0545559478116851,0.9656732186732188,-2.432033044471338e-13
True,False,0.2335721469090121,0.8769220119981542,-2.432033044471338e-13
True,False,0.4832930238571752,0.831054721977052,-2.432033044471336e-13
True,False,0.0061584821106602,0.9720850202429148,-2.432033044471336e-13
True,False,7.847599703514606e-05,0.8776903784769722,-2.432033044471338e-13
True,False,8.858667904100832e-06,0.8619664902998239,-6.733105247776182e-09
True,False,0.0003359818286283,0.909816513761468,-2.432033044471338e-13
True,False,4.281332398719396e-06,0.8832520891364904,-2.417182028920053e-06
True,False,0.0263665089873035,0.9556555814446092,-2.6981667985770933e-13
True,False,1.832980710832437e-05,0.9510767613038908,-2.6981667985770933e-13
True,False,0.0006951927961775,0.9560872781065088,-2.6981667985770933e-13
True,False,0.0029763514416313,0.960379111490816,-2.6981667985770933e-13
True,False,1e-06,0.956738382099828,-5.8072710716775866e-05
True,False,0.2335721469090121,0.9317253668763102,-2.698166798577109e-13
True,False,8.858667904100832e-06,0.9548215811965812,-4.5820155373872936e-12
True,False,2.06913808111479e-06,0.9551762208067942,-1.2765210997662133e-05
True,False,0.0001623776739188,0.9698783351120598,-2.698166798577109e-13
True,False,1.0,0.9378913463603178,-2.6981667985770933e-13
True,False,0.0061584821106602,0.9580610298792116,-2.6981667985770933e-13
True,False,0.1128837891684688,0.9253788204907446,-2.6981667985770933e-13
True,False,3.792690190732254e-05,0.9556440677966102,-2.6981667985770933e-13
True,False,0.4832930238571752,0.9223023355474608,-2.6981667985770933e-13
True,False,0.0127427498570313,0.9629069520983468,-2.698166798577109e-13
True,False,4.281332398719396e-06,0.9525392781316346,-1.127498902694506e-07
True,False,7.847599703514606e-05,0.962136853448276,-2.6981667985770933e-13
True,False,0.0545559478116851,0.933948623455452,-2.698166798577109e-13
True,False,0.0003359818286283,0.9658533249158252,-2.6981667985770933e-13
True,False,0.0014384498882876,0.9549734494477484,-2.6981667985770933e-13
True,False,0.0263665089873035,0.9385273462438818,-2.7395395207928055e-13
True,False,1.832980710832437e-05,0.9333691983122364,-2.7395395207928055e-13
True,False,1e-06,0.925724942214751,-3.425805517837072e-05
True,False,8.858667904100832e-06,0.932290206076057,-8.96250055003919e-13
True,False,0.0006951927961775,0.9352349137931032,-2.7395395207928055e-13
True,False,0.0001623776739188,0.9300749577702702,-2.739539520792808e-13
True,False,0.0029763514416313,0.9310926315789472,-2.7395395207928055e-13
True,False,2.06913808111479e-06,0.9291685839782472,-7.248351653775408e-06
True,False,0.1128837891684688,0.9087812103258572,-2.7395395207928055e-13
True,False,3.792690190732254e-05,0.9335363022372308,-2.7395395207928055e-13
True,False,0.4832930238571752,0.905209775540172,-2.7395395207928055e-13
True,False,4.281332398719396e-06,0.9398692879914984,-3.765191891789721e-08
True,False,1.0,0.9170720034805308,-2.739539520792808e-13
True,False,0.2335721469090121,0.9065267335004178,-2.7395395207928055e-13
True,False,0.0127427498570313,0.938368989620843,-2.7395395207928055e-13
True,False,0.0061584821106602,0.9307970706856292,-2.739539520792808e-13
True,False,0.0003359818286283,0.93226401179941,-2.739539520792808e-13
True,False,0.0545559478116851,0.9304957627118644,-2.739539520792808e-13
True,False,7.847599703514606e-05,0.9349523103009748,-2.7395395207928055e-13
True,False,0.0014384498882876,0.9278339614740369,-2.7395395207928055e-13
True,False,0.0263665089873035,0.9248100048100044,-0.0090254632334948
True,False,0.0006951927961775,0.9757315867523476,-0.0090254632334948
True,False,1.832980710832437e-05,0.9656831537708128,-0.0090254632334948
True,False,0.1128837891684688,0.8952877379371407,-0.0090254632334948
True,False,1.0,0.8619641313742434,-0.0090254632334948
True,False,0.0029763514416313,0.9479082352941176,-0.0090254632334948
True,False,2.06913808111479e-06,0.9741234084231148,-0.0090254632334948
True,False,8.858667904100832e-06,0.8660503089143866,-0.0090254632334948
True,False,0.0127427498570313,0.9572025565388392,-0.0090254632334948
True,False,4.281332398719396e-06,0.9056365688487584,-0.0090254632334948
True,False,0.2335721469090121,0.9487186897880536,-0.0090254632334948
True,False,1e-06,0.9003262867647059,-0.0090254632334948
True,False,0.4832930238571752,0.9324905660377356,-0.0090254632334948
True,False,0.0001623776739188,0.9308789424860856,-0.0090254632334948
True,False,3.792690190732254e-05,0.9278561549100968,-0.0090254632334948
True,False,0.0545559478116851,0.9480991337824832,-0.0090254632334948
True,False,7.847599703514606e-05,0.9126842350746268,-0.0090254632334948
True,False,0.0003359818286283,1.0309363492898471,-0.0090254632334948
True,False,0.0263665089873035,0.952031482663263,-0.0121100990399163
True,False,0.0014384498882876,0.8920071684587816,-0.0090254632334948
True,False,0.0061584821106602,0.9835721295387632,-0.0090254632334948
True,False,1.832980710832437e-05,0.9532545187053384,-0.0121100990399163
True,False,0.0006951927961775,0.9584226826142676,-0.0121100990399163
True,False,2.06913808111479e-06,0.9439079974678204,-0.0121100990399163
True,False,0.1128837891684688,0.959149789029536,-0.0121100990399163
True,False,0.0029763514416313,0.9704282034771412,-0.0121100990399163
True,False,1.0,0.9569938844369464,-0.0121100990399163
True,False,0.2335721469090121,0.9625434690415604,-0.0121100990399163
True,False,8.858667904100832e-06,0.9552608878602988,-0.0121100990399163
True,False,0.0127427498570313,0.973923159018143,-0.0121100990399163
True,False,3.792690190732254e-05,0.9570324347093512,-0.0121100990399163
True,False,4.281332398719396e-06,0.948510281158204,-0.0121100990399163
True,False,0.0001623776739188,0.9535648050579556,-0.0121100990399163
True,False,0.4832930238571752,0.9554011370814908,-0.0121100990399163
True,False,7.847599703514606e-05,0.9531810490693738,-0.0121100990399163
True,False,1e-06,0.9483114172406596,-0.0121100990399163
True,False,0.0263665089873035,0.9434651360544216,0.0
True,False,0.0545559478116851,0.9485456475583864,-0.0121100990399163
