clip,naive,lr,avg_reward,avg_gap
False,False,0.0545559478116851,0.1458693467336682,-0.4987757026444567
False,False,0.0006951927961775,0.046259505703422,-0.8300064962336094
False,False,0.0061584821106602,0.1307363977485927,-0.6164106090353376
False,False,0.2335721469090121,0.5966916666666665,-0.556788620442611
False,False,3.792690190732254e-05,-0.072645656779661,-1.860508528804708
False,False,0.0014384498882876,0.0144074250356973,-0.6789396681271244
False,False,7.847599703514606e-05,-0.0102998462327011,-1.733421195635691
False,False,1.832980710832437e-05,0.0024858757062147,-1.8932672270243367
False,False,0.0001623776739188,0.0497702249880324,-1.4431241829960364
False,False,4.281332398719396e-06,0.0866666666666665,-1.9068035210405256
False,False,0.0263665089873035,0.1634033412887826,-0.5402295731033993
False,False,0.1128837891684688,0.3519096133751306,-0.4519991964735366
False,False,0.0029763514416313,0.0898199999999999,-0.6192783534175627
False,False,1.0,0.2790630511463844,-0.5683726805035089
False,False,0.0003359818286283,0.0716989843028623,-1.114993542995352
False,False,2.06913808111479e-06,0.0731619937694703,-1.9650043938717
False,False,1e-06,0.0823158153241648,-1.8225389654049424
True,True,8.858667904100832e-06,0.0132942376338601,-0.714149943751874
True,True,1e-06,0.0401165096678232,-0.7141499437518735
False,False,0.4832930238571752,0.6250578871201158,-0.7064390463139708
False,False,8.858667904100832e-06,0.0614408099688474,-1.720095183152644
True,True,0.0014384498882876,0.24146865520728,-0.7141499437518735
True,True,7.847599703514606e-05,0.0656946323861072,-0.714149943751874
True,True,2.06913808111479e-06,0.0127209660842752,-0.714149943751874
False,False,0.0127427498570313,0.1565438342967243,-0.5967139250763294
True,True,0.0001623776739188,0.0232713936430316,-0.714149943751874
True,True,1.832980710832437e-05,0.0594662921348315,-0.714149943751874
True,True,3.792690190732254e-05,0.0142623363544815,-0.714149943751874
True,True,0.0006951927961775,-0.0267022826614862,-0.714149943751874
True,True,4.281332398719396e-06,0.037712818003914,-0.714149943751874
True,True,0.0003359818286283,0.1199798477384684,-0.7141499437518735
True,True,0.0029763514416313,0.1500627240143372,-0.714149943751874
False,False,0.0545559478116851,0.2823656716417911,-0.6611635056903727
False,False,7.847599703514606e-05,0.0018002081165451,-1.6458941699648952
False,False,0.0029763514416313,0.1909330040798798,-0.7418115161812645
False,False,0.0061584821106602,0.2663830696879008,-0.7412261867104618
False,False,1.832980710832437e-05,-0.0184674166843558,-1.8174087488974155
False,False,1e-06,0.1481512429496553,-2.084828608010759
False,False,4.281332398719396e-06,0.141473081814328,-1.9085262535528509
False,False,1.0,0.099950749464668,-1.165265307147849
False,False,0.4832930238571752,0.7298525528169014,-1.2930291182821332
False,False,3.792690190732254e-05,-0.0004463904314394,-1.983149168821409
False,False,0.0006951927961775,0.0342067564678211,-0.959326395618152
False,False,0.2335721469090121,0.656437461107654,-0.7673430848026092
False,False,0.0001623776739188,0.0814196601419659,-1.5933222600029002
False,False,0.0263665089873035,0.2644486853265478,-0.6804624602224657
False,False,0.0014384498882876,0.2081799700406591,-0.7882601118705075
False,False,0.0127427498570313,0.2310811965811967,-0.7259042571878391
False,False,0.0003359818286283,0.005021372088053,-1.2996719099646317
False,False,2.06913808111479e-06,-0.0412348877374784,-1.835108787177797
False,False,0.1128837891684688,0.4581170056615644,-0.6556901759906756
False,False,8.858667904100832e-06,-0.023191489361702,-2.027055934446288
True,True,2.06913808111479e-06,0.0722280626475005,-0.776215261192144
True,True,1e-06,-0.007232218458933,-0.7762152611921496
True,True,4.281332398719396e-06,0.1914046255039252,-0.776215261192144
True,True,0.0001623776739188,0.2121038193711753,-0.7762152611921496
True,True,8.858667904100832e-06,0.0256552162849872,-0.776215261192144
True,True,0.0014384498882876,0.1799429416737108,-0.776215261192144
True,True,7.847599703514606e-05,0.1223843683083512,-0.7762152611921496
True,True,3.792690190732254e-05,-0.0089901372212692,-0.776215261192144
True,True,0.0006951927961775,0.180558798999166,-0.7762152611921496
True,True,1.832980710832437e-05,0.1142992142705457,-0.776215261192144
True,True,0.0029763514416313,0.2617083153813012,-0.776215261192144
True,True,0.0003359818286283,0.268568403218975,-0.7762152611921496
