clip,naive,lr,avg_reward
True,False,0.0304,-558788.5
False,False,0.1314,-976644.0
True,False,0.1314,-593378.0
True,False,0.0304,-614799.0
True,False,0.0304,-511445.0
False,False,0.1314,-981070.5
True,True,0.0304,-799004.0
True,False,0.0607,-572464.0
True,False,0.0607,-536536.0
True,False,0.1415,-585387.0
True,True,0.0304,-739628.0
True,True,0.1314,-752060.0
True,True,0.0304,-793125.5
True,True,0.0304,-766921.0
True,True,0.0304,-803076.0
False,False,0.0304,-975177.5
True,False,0.1415,-559421.0
True,True,0.0607,-797703.0
False,False,0.0304,-973449.5
True,True,0.1415,-774825.0
True,True,0.0607,-793483.0
False,False,0.1314,-976164.5
False,False,0.0304,-962393.0
False,False,0.0304,-967107.5
False,False,0.0304,-956492.0
True,True,0.1415,-769773.5
False,False,0.0607,-993610.0
True,False,0.0405,-585296.0
True,False,0.0405,-510461.0
False,False,0.1415,-945534.5
True,False,0.1415,-580333.0
True,False,0.0405,-512920.0
False,False,0.0607,-981806.0
True,False,0.0405,-576392.0
True,False,0.0405,-600013.0
False,False,0.1415,-958450.5
True,True,0.0405,-786621.0
True,False,0.0708,-519316.0
True,True,0.0405,-829209.0
True,False,0.1515999999999999,-573218.0
True,True,0.1415,-811612.5
True,False,0.0708,-522760.0
True,True,0.0405,-794494.0
True,True,0.0405,-773328.0
True,False,0.1515999999999999,-539493.0
True,True,0.0405,-779921.5
True,True,0.0708,-787028.0
False,False,0.0405,-978132.0
False,False,0.0405,-953306.5
False,False,0.1415,-959676.5
True,True,0.1515999999999999,-807173.0
False,False,0.0405,-973937.5
False,False,0.0405,-976895.0
True,True,0.0708,-812856.0
True,True,0.1515999999999999,-786252.0
False,False,0.0405,-975297.0
False,False,0.0708,-992875.0
True,False,0.0506,-555724.0
True,False,0.1515999999999999,-524728.0
True,False,0.0506,-524728.0
False,False,0.0708,-986976.0
True,False,0.0506,-520808.0
False,False,0.1515999999999999,-947873.5
True,False,0.0506,-536044.0
False,False,0.1515999999999999,-936303.0
True,False,0.0506,-524237.0
True,False,0.0809,-516857.0
True,True,0.1515999999999999,-764848.5
True,True,0.0506,-789275.5
True,False,0.0809,-511444.0
True,True,0.0506,-799941.5
True,True,0.0506,-807220.5
True,False,0.1616999999999999,-519808.0
True,True,0.0506,-812680.5
True,False,0.1616999999999999,-574920.0
True,True,0.0809,-792943.0
True,True,0.0506,-782878.5
False,False,0.0506,-973096.0
True,True,0.0809,-848542.5
False,False,0.0506,-990908.0
False,False,0.1515999999999999,-939523.0
False,False,0.0506,-987106.5
False,False,0.0506,-982073.5
True,True,0.1616999999999999,-746145.0
True,True,0.1616999999999999,-759685.0
False,False,0.0809,-992873.5
False,False,0.0506,-983284.0
True,False,0.0607,-570744.5
False,False,0.0809,-993608.5
True,False,0.1616999999999999,-557447.5
True,False,0.0607,-538504.0
True,False,0.0607,-587462.0
True,False,0.0607,-532600.0
False,False,0.1616999999999999,-918102.5
True,False,0.091,-563850.0
True,False,0.0607,-553770.0
False,False,0.1616999999999999,-930895.0
True,True,0.0607,-829438.5
True,False,0.091,-523252.0
True,True,0.0607,-782632.5
True,True,0.0607,-826660.0
True,True,0.1616999999999999,-736549.5
True,True,0.0607,-796896.0
True,False,0.1717999999999999,-512920.0
True,True,0.091,-810625.5
True,True,0.0607,-807481.5
True,False,0.1717999999999999,-581562.0
False,False,0.0607,-985751.5
False,False,0.0607,-990288.5
False,False,0.1616999999999999,-920315.5
False,False,0.0607,-988945.5
False,False,0.0607,-987586.0
True,True,0.1717999999999999,-766301.5
False,False,0.091,-993979.5
False,False,0.0607,-985249.0
True,True,0.1717999999999999,-749850.5
False,False,0.091,-993863.0
True,False,0.0708,-575408.0
True,False,0.0708,-527681.0
True,False,0.0708,-549843.0
True,False,0.1717999999999999,-514396.0
False,False,0.1717999999999999,-881922.0
True,False,0.0708,-530140.0
True,False,0.1011,-564103.0
True,False,0.0708,-529157.0
False,False,0.1717999999999999,-922281.5
True,True,0.0708,-787080.0
True,True,0.0708,-816935.5
True,True,0.1717999999999999,-769759.0
True,False,0.1011,-536044.0
True,True,0.0708,-814337.0
True,True,0.0708,-831569.0
True,True,0.1011,-813335.0
True,True,0.0708,-789973.5
True,False,0.1818999999999999,-905558.0
True,False,0.1818999999999999,-579104.5
False,False,0.0708,-987214.0
True,True,0.1011,-786059.5
False,False,0.0708,-985994.5
False,False,0.1011,-989432.5
False,False,0.0708,-989683.0
False,False,0.1717999999999999,-869139.5
False,False,0.0708,-986727.5
False,False,0.0708,-990667.5
True,True,0.1818999999999999,-786738.5
True,False,0.0809,-577897.5
True,False,0.0809,-533106.5
True,True,0.1818999999999999,-765825.5
False,False,0.1011,-986851.0
True,False,0.1818999999999999,-597061.0
True,False,0.1112,-562128.5
True,False,0.0809,-518333.0
True,False,0.0809,-561693.0
True,False,0.0809,-553270.0
False,False,0.1818999999999999,-925974.0
