clip,naive,lr,avg_reward,avg_gap
True,False,0.4210526315789473,0.7184578804347825,-0.6541566440554883
True,False,0.5789473684210527,0.6518580271565495,-0.6398197782251065
True,False,0.6842105263157894,0.8205541263634494,-0.7125283344532606
True,False,0.631578947368421,0.5137087315377933,-0.6294513309317429
True,False,0.7368421052631579,0.7892284537389102,-0.5773499317356472
True,False,0.8421052631578947,0.6965891195418755,-0.6484656005126664
True,False,0.5263157894736842,0.856321502057613,-0.6877355735659268
True,False,0.3157894736842105,0.688376596621343,-0.6581962029449713
True,False,0.4736842105263157,0.8521982758620691,-0.7338083818820333
True,False,0.7894736842105263,0.6487265758091992,-0.6082722821341485
True,False,0.1052631578947368,0.6923611398963732,-0.6293505777651897
True,False,0.894736842105263,0.2892643923240937,-0.5500508988719208
True,False,0.0,0.95929928475637,-0.0001642687636673
True,False,0.0526315789473684,0.5078717337204479,-0.6960661441155528
True,False,0.2105263157894736,0.6412669322709162,-0.5185994108032158
True,False,0.9473684210526316,0.3536688059120964,-0.5979143888131739
True,False,0.2631578947368421,0.5929706457925635,-0.5541376723702541
True,False,0.3684210526315789,0.6961128250330543,-0.6203757724249346
True,False,0.1578947368421052,0.8537594794015166,-0.6637138439105423
True,False,1.0,0.265128174413033,-0.5185647626374654
True,False,0.4210526315789473,0.61380538662033,-0.6348889689384334
True,False,0.7368421052631579,0.7653282671629446,-0.6179432634682683
True,False,0.1052631578947368,0.6345395556478406,-0.6722304621335204
True,False,0.5263157894736842,0.8193225210429069,-0.6781492544763807
True,False,0.1578947368421052,0.6516361445783132,-0.4872880314275898
True,False,0.2631578947368421,0.6903762423095128,-0.5449291546983547
True,False,0.6842105263157894,0.6167234996102884,-0.623883010869578
True,False,0.3157894736842105,0.7290139075067024,-0.6355664198857149
True,False,0.7894736842105263,0.5996189927583938,-0.6782110313416845
True,False,1.0,0.4514272162814764,-0.7057150727807241
True,False,0.3684210526315789,0.613377871024735,-0.552323299591306
True,False,0.2105263157894736,0.6840551250440297,-0.616350282107269
True,False,0.4736842105263157,0.7518801463860932,-0.633679700668878
True,False,0.631578947368421,0.5379801762114537,-0.5937489432863606
True,False,0.9473684210526316,0.6850744613434727,-0.6581247583167478
True,False,0.0526315789473684,0.5810347510373444,-0.6639003851024263
True,False,0.8421052631578947,0.8223883464894058,-0.7078658657031053
True,False,0.5789473684210527,0.5218162296564195,-0.61528954828247
True,False,0.0,0.9525960279353992,-4.944761408526017e-13
True,False,0.894736842105263,0.7609886623673808,-0.6437814517874163
True,False,0.894736842105263,0.3809988713318284,-0.5915118837970634
True,False,0.4736842105263157,0.634280250347705,-0.699266568843042
True,False,0.2631578947368421,0.838474314008665,-0.684807412539229
True,False,0.1578947368421052,0.6553719436386244,-0.4789811768206206
True,False,0.7368421052631579,0.4689448786507609,-0.6090739869621833
True,False,0.3684210526315789,0.6071784776902887,-0.69911199826157
True,False,0.2105263157894736,0.6141491433021808,-0.5111511702810694
True,False,0.7894736842105263,0.6820043478260869,-0.6261242585096986
True,False,1.0,0.6332725277022789,-0.7095942608667399
True,False,0.0,0.9605275087574696,-2.7386690626224934e-13
True,False,0.6842105263157894,0.6403722913785155,-0.708554852983579
True,False,0.3157894736842105,0.6078733240869163,-0.6716866192668011
True,False,0.5263157894736842,0.5092557420494701,-0.6464107002699888
True,False,0.631578947368421,0.7692324716713882,-0.610067640357179
True,False,0.1052631578947368,0.6231739323843417,-0.5341832442800436
True,False,0.4210526315789473,0.6143250798722045,-0.6844862577269449
True,False,0.5789473684210527,0.8346632617728533,-0.7064667349296181
True,False,0.8421052631578947,0.6736214384989577,-0.6749933617139999
True,False,0.9473684210526316,0.7862679597701149,-0.6546782930820841
True,False,0.0526315789473684,0.5183418848167538,-0.6624055821741115
True,False,0.0,0.9712088253573647,0.0
True,False,0.5263157894736842,0.7661843027330063,-0.6125728748687572
True,False,0.0526315789473684,0.4278681546249426,-0.5251714439771794
True,False,0.3157894736842105,0.62354203539823,-0.5848050623390689
True,False,0.2105263157894736,0.6823494288681204,-0.5518683442544652
True,False,0.4210526315789473,0.8084335671549411,-0.6866273928983088
True,False,0.4736842105263157,0.7100495049504951,-0.6099541370478505
True,False,0.6842105263157894,0.5933197858842186,-0.6662659101834104
True,False,0.631578947368421,0.8416474678289747,-0.7211049499258859
True,False,1.0,0.7912166110183639,-0.6956752072749859
True,False,0.7894736842105263,0.5006734559789752,-0.580414321725237
True,False,0.5789473684210527,0.471702291758484,-0.6817723838364736
True,False,0.7368421052631579,0.8682876640966868,-0.6911573084775021
True,False,0.9473684210526316,0.8076014136447449,-0.7510602781106797
True,False,0.1052631578947368,0.703936606391926,-0.668439559414426
True,False,0.894736842105263,0.5844930154142582,-0.6360272635264695
True,False,0.8421052631578947,0.3667333030440706,-0.6675886901410246
True,False,0.1578947368421052,0.8057965787304203,-0.6873852126392394
True,False,0.2631578947368421,0.7744014666391241,-0.6780773411127401
True,False,0.3684210526315789,0.6552760214007782,-0.6908730098085807
True,False,0.4736842105263157,0.6280666804293971,-0.635823293106055
True,False,0.6842105263157894,0.4635720581754077,-0.6229964219044403
True,False,0.3684210526315789,0.6722960848287111,-0.5669445393614418
True,False,0.0526315789473684,0.563887567232106,-0.6521773603012513
True,False,0.2105263157894736,0.5802139391265989,-0.5464385686545609
True,False,0.1052631578947368,0.5851450944265315,-0.5135062589959167
True,False,0.4210526315789473,0.615710315695865,-0.670317459367167
True,False,0.631578947368421,0.5681698357821954,-0.7134622030857508
True,False,0.1578947368421052,0.6844601036269431,-0.6875096903229896
True,False,0.894736842105263,0.6255694915254237,-0.6239438073436941
True,False,0.2631578947368421,0.6403429462197974,-0.5964424779528239
True,False,0.8421052631578947,0.8220273477812178,-0.7138269761579699
True,False,0.7894736842105263,0.4205678233438485,-0.5778587254025573
True,False,0.0,0.9700268096514746,0.0
True,False,0.5263157894736842,0.5598668467773061,-0.6357857946988268
True,False,0.9473684210526316,0.4290712967235809,-0.5699622222430019
True,False,1.0,0.2235755753680281,-0.7549366346743841
True,False,0.5789473684210527,0.5540338164251206,-0.6216094312611352
True,False,0.3157894736842105,0.6772857142857144,-0.65385858914824
True,False,0.7368421052631579,0.550160170250896,-0.6634677640589215
True,False,0.4210526315789473,0.8158717654424039,-0.7019158453461235
True,False,1.0,0.3366298675230831,-0.6046640001248604
True,False,0.3157894736842105,0.5787505371723247,-0.5580490349660818
True,False,0.8421052631578947,0.4031717263253284,-0.6030265213268995
True,False,0.0,0.968736239542052,0.0
True,False,0.6842105263157894,0.4688956557044256,-0.6547768005328829
True,False,0.0526315789473684,0.5309068727124847,-0.5212735146141446
True,False,0.7894736842105263,0.7464992691584882,-0.7606098061624414
True,False,0.2631578947368421,0.7440355902777778,-0.6116169271230854
True,False,0.5789473684210527,0.5595197486535011,-0.6858353145517697
True,False,0.1578947368421052,0.7563801327250101,-0.5873739480153299
True,False,0.894736842105263,0.6543479390370626,-0.6646305750817938
True,False,0.9473684210526316,0.4521823204419891,-0.6251697734218499
True,False,0.3684210526315789,0.834205710102489,-0.736851906709276
True,False,0.631578947368421,0.8795534610630409,-0.7233089567691943
True,False,0.5263157894736842,0.5353724556084887,-0.6449704097006181
True,False,0.2105263157894736,0.5379280894137495,-0.5426037903242384
True,False,0.4736842105263157,0.7988006166495375,-0.7235978066223172
True,False,0.1052631578947368,0.8051008645533141,-0.6522350796276084
